Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1514757600;01.01.2018 00:00;841.5928;964.8569;844.5;954.7;25.65;25.65;25.65;25.65
1514761200;01.01.2018 01:00;829.7639;922.2947;800.7;976.7;26.33;26.33;26.33;26.33
1514764800;01.01.2018 02:00;815.4053;961.6113;768.7;985.5;26.43;26.43;26.43;26.43
1514768400;01.01.2018 03:00;786.5032;986.6841;752.9;993;26.1;26.1;26.1;26.1
1514772000;01.01.2018 04:00;780.0486;1062.2301;743;996.1;24.7;24.7;24.7;24.7
1514775600;01.01.2018 05:00;778.6814;1049.2098;749.1;1001.6;24.74;24.74;24.74;24.74
1514779200;01.01.2018 06:00;777.0674;1054.7294;765.2;993.2;18.01;18.01;18.01;18.01
1514782800;01.01.2018 07:00;781.2065;1052.5654;792.6;956.2;17.78;17.78;17.78;17.78
1514786400;01.01.2018 08:00;797.6081;913.6081;819.1;988.2;17.8;17.8;17.8;17.8
1514790000;01.01.2018 09:00;796.2361;943.8228;819;985.7;19.76;19.76;19.76;19.76
1514793600;01.01.2018 10:00;820.2339;883.4249;857.8;980.9;20.73;20.73;20.73;20.73
1514797200;01.01.2018 11:00;863.4686;910.7098;884.6;983.1;24.76;24.76;24.76;24.76
1514800800;01.01.2018 12:00;887.8411;869.7786;901.1;954.8;25.68;25.68;25.68;25.68
1514804400;01.01.2018 13:00;902.1082;840.3699;908.6;949.3;24.09;24.09;24.09;24.09
1514808000;01.01.2018 14:00;904.0421;851.335;919.4;963.4;25.01;25.01;25.01;25.01
1514811600;01.01.2018 15:00;920.7411;865.1033;951.3;962.7;25.81;25.81;25.81;25.81
1514815200;01.01.2018 16:00;984.2566;955.6077;1003.7;1015.2;26.46;26.46;26.46;26.46
1514818800;01.01.2018 17:00;1009.3896;1018.1718;1004.4;1038.3;27.03;27.03;27.03;27.03
1514822400;01.01.2018 18:00;1010.5203;1051.4044;994.8;1049.5;27.43;27.43;27.43;27.43
1514826000;01.01.2018 19:00;991.8796;986.91;971.5;1062.5;27.29;27.29;27.29;27.29
1514829600;01.01.2018 20:00;968.1857;1015.0942;956.1;1075.5;26.96;26.96;26.96;26.96
1514833200;01.01.2018 21:00;934.8145;975.3592;931.3;1083.4;26.7;26.7;26.7;26.7
1514836800;01.01.2018 22:00;891.3914;1086.1415;885.2;1090.2;26.47;26.47;26.47;26.47
1514840400;01.01.2018 23:00;853.7324;1152.4319;841.4;1040;26.09;26.09;26.09;26.09
