Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Läti;NPS Leedu;NPS Soome;NPS Eesti
1420362000;04.01.2015 11:00;;;;;28.24;28.24;28.24;28.24
1420365600;04.01.2015 12:00;;;;;28.32;28.32;28.32;28.32
1420369200;04.01.2015 13:00;;;;;28.24;28.24;28.24;28.24
1420372800;04.01.2015 14:00;;;;;28.27;28.27;28.27;28.27
1420376400;04.01.2015 15:00;;;;;28.32;28.32;28.32;28.32
1420380000;04.01.2015 16:00;;;;;31;31;31;31
1420383600;04.01.2015 17:00;;;;;31.1;31.1;31.1;31.1
1420387200;04.01.2015 18:00;;;;;40.01;40.01;31.04;40.01
1420390800;04.01.2015 19:00;;;;;40;40;31.08;40
1420394400;04.01.2015 20:00;;;;;30.91;30.91;30.91;30.91
1420398000;04.01.2015 21:00;;;;;29.66;29.66;29.45;29.66
1420401600;04.01.2015 22:00;;;;;29.78;29.78;29.78;29.78
1420405200;04.01.2015 23:00;;;;;29.03;29.03;29.03;29.03
1420408800;05.01.2015 00:00;;;;;28.02;28.02;28.02;28.02
1420412400;05.01.2015 01:00;;;;;29.06;29.06;29.06;29.06
1420416000;05.01.2015 02:00;;;;;28.88;28.88;28.88;28.88
1420419600;05.01.2015 03:00;;;;;28.87;28.87;28.87;28.87
1420423200;05.01.2015 04:00;;;;;28.97;28.97;28.97;28.97
1420426800;05.01.2015 05:00;;;;;29.34;29.34;29.34;29.34
1420430400;05.01.2015 06:00;;;;;45.06;45.06;35.96;35.96
1420434000;05.01.2015 07:00;;;;;45.1;45.1;38.91;38.91
1420437600;05.01.2015 08:00;;;;;45.06;45.06;45.02;45.02
1420441200;05.01.2015 09:00;;;;;45.04;45.04;45.04;45.04
1420444800;05.01.2015 10:00;;;;;45.04;45.04;45.04;45.04
1420448400;05.01.2015 11:00;;;;;45.02;45.02;45.02;45.02
1420452000;05.01.2015 12:00;;;;;45.03;45.03;45.03;45.03
1420455600;05.01.2015 13:00;;;;;45.05;45.05;45.05;45.05
1420459200;05.01.2015 14:00;;;;;45.05;45.05;45.05;45.05
1420462800;05.01.2015 15:00;;;;;45.1;45.1;45.1;45.1
1420466400;05.01.2015 16:00;;;;;46.03;46.03;46.03;46.03
1420470000;05.01.2015 17:00;;;;;46.7;46.7;46.7;46.7
1420473600;05.01.2015 18:00;;;;;56.78;56.78;56.78;56.78
1420477200;05.01.2015 19:00;;;;;58.04;58.04;58.84;58.04
1420480800;05.01.2015 20:00;;;;;50.04;50.04;49.23;50.04
1420484400;05.01.2015 21:00;;;;;46.01;46.01;44.32;44.32
1420488000;05.01.2015 22:00;;;;;45.09;45.09;45.09;45.09
1420491600;05.01.2015 23:00;;;;;32.56;32.56;32.56;32.56
1420495200;06.01.2015 00:00;;;;;30.03;30.03;30.03;30.03
1420498800;06.01.2015 01:00;;;;;30.02;30.02;30.02;30.02
1420502400;06.01.2015 02:00;;;;;29.81;29.81;29.81;29.81
1420506000;06.01.2015 03:00;;;;;29.41;29.41;29.41;29.41
1420509600;06.01.2015 04:00;;;;;29.11;29.11;29.11;29.11
1420513200;06.01.2015 05:00;;;;;29.5;29.5;29.5;29.5
1420516800;06.01.2015 06:00;;;;;44;44;29.64;29.64
1420520400;06.01.2015 07:00;;;;;45.2;45.2;29.67;29.67
1420524000;06.01.2015 08:00;;;;;44.03;44.03;30.75;30.75
1420527600;06.01.2015 09:00;;;;;44.04;44.04;31.08;31.08
1420531200;06.01.2015 10:00;;;;;43.1;43.1;32.19;32.19
1420534800;06.01.2015 11:00;;;;;43.09;43.09;33.38;33.38
1420538400;06.01.2015 12:00;;;;;43.09;43.09;33.88;33.88
1420542000;06.01.2015 13:00;;;;;43.1;43.1;32.27;32.27
1420545600;06.01.2015 14:00;;;;;45.21;45.21;31.11;31.11
1420549200;06.01.2015 15:00;;;;;44.08;44.08;33.64;33.64
1420552800;06.01.2015 16:00;;;;;45.2;45.2;37.79;37.79
1420556400;06.01.2015 17:00;;;;;43.07;43.07;39.5;39.5
1420560000;06.01.2015 18:00;;;;;43.02;43.02;38.95;38.95
1420563600;06.01.2015 19:00;;;;;37.71;37.71;37.71;37.71
1420567200;06.01.2015 20:00;;;;;34.94;34.94;34.94;34.94
1420570800;06.01.2015 21:00;;;;;43.05;43.05;33.15;33.15
1420574400;06.01.2015 22:00;;;;;32.92;32.92;32.92;32.92
1420578000;06.01.2015 23:00;;;;;30.36;30.36;30.36;30.36
1420581600;07.01.2015 00:00;;;;;28.08;28.08;28.08;28.08
1420585200;07.01.2015 01:00;;;;;29.53;29.53;26.35;26.35
1420588800;07.01.2015 02:00;;;;;28.1;28.1;26.08;26.08
1420592400;07.01.2015 03:00;;;;;29;29;26.03;26.03
1420596000;07.01.2015 04:00;;;;;29;29;26.17;26.17
1420599600;07.01.2015 05:00;;;;;29.03;29.03;26.74;26.74
1420603200;07.01.2015 06:00;;;;;45.08;45.08;29.81;29.81
1420606800;07.01.2015 07:00;;;;;45.21;45.21;34.96;34.96
1420610400;07.01.2015 08:00;;;;;45.1;45.1;40.27;40.27
1420614000;07.01.2015 09:00;;;;;45.09;45.09;39.31;39.31
1420617600;07.01.2015 10:00;;;;;45.05;45.05;35.07;35.07
1420621200;07.01.2015 11:00;;;;;45.04;45.04;34.08;34.08
1420624800;07.01.2015 12:00;;;;;45.03;45.03;33.91;33.91
1420628400;07.01.2015 13:00;;;;;45.05;45.05;34.14;34.14
1420632000;07.01.2015 14:00;;;;;45.05;45.05;33.79;33.79
1420635600;07.01.2015 15:00;;;;;45.06;45.06;37.27;37.27
1420639200;07.01.2015 16:00;;;;;45.05;45.05;37.43;37.43
1420642800;07.01.2015 17:00;;;;;40.71;40.71;40.71;40.71
1420646400;07.01.2015 18:00;;;;;41.11;41.11;41.11;41.11
1420650000;07.01.2015 19:00;;;;;35.48;35.48;35.48;35.48
1420653600;07.01.2015 20:00;;;;;33.19;33.19;33.19;33.19
1420657200;07.01.2015 21:00;;;;;45.01;45.01;31.12;31.12
1420660800;07.01.2015 22:00;;;;;30.22;30.22;30.22;30.22
1420664400;07.01.2015 23:00;;;;;29.46;29.46;29.46;29.46
1420668000;08.01.2015 00:00;;;;;28.09;28.09;27.47;27.47
1420671600;08.01.2015 01:00;;;;;29.52;29.52;26.51;26.51
1420675200;08.01.2015 02:00;;;;;29.09;29.09;25.07;25.07
1420678800;08.01.2015 03:00;;;;;29.09;29.09;24.57;24.57
1420682400;08.01.2015 04:00;;;;;29.09;29.09;24.44;24.44
1420686000;08.01.2015 05:00;;;;;29.59;29.59;24.54;24.54
1420689600;08.01.2015 06:00;;;;;43.05;43.05;29.66;29.66
1420693200;08.01.2015 07:00;;;;;45.14;45.14;35.84;35.84
1420696800;08.01.2015 08:00;;;;;45.12;45.12;37.24;37.24
1420700400;08.01.2015 09:00;;;;;45.13;45.13;33.16;33.16
1420704000;08.01.2015 10:00;;;;;45.13;45.13;31.08;31.08
1420707600;08.01.2015 11:00;;;;;45.12;45.12;30.73;30.73
1420711200;08.01.2015 12:00;;;;;45.12;45.12;31.04;31.04
1420714800;08.01.2015 13:00;;;;;45.13;45.13;30.33;30.33
1420718400;08.01.2015 14:00;;;;;45.12;45.12;31;31
1420722000;08.01.2015 15:00;;;;;45.14;45.14;30.99;30.99
1420725600;08.01.2015 16:00;;;;;45.14;45.14;32.93;32.93
1420729200;08.01.2015 17:00;;;;;45.15;45.15;32.81;32.81
1420732800;08.01.2015 18:00;;;;;45.15;45.15;32.03;32.03
1420736400;08.01.2015 19:00;;;;;45.14;45.14;31.05;31.05
1420740000;08.01.2015 20:00;;;;;45.12;45.12;30.37;30.37
1420743600;08.01.2015 21:00;;;;;45.13;45.13;29.44;29.44
1420747200;08.01.2015 22:00;;;;;43.09;43.09;29.36;29.36
1420750800;08.01.2015 23:00;;;;;30.06;30.06;27.4;27.4
1420754400;09.01.2015 00:00;;;;;29.58;29.58;25.91;25.91
1420758000;09.01.2015 01:00;;;;;28.07;28.07;25.89;25.89
1420761600;09.01.2015 02:00;;;;;28.03;28.03;25.37;25.37
1420765200;09.01.2015 03:00;;;;;28.02;28.02;25.17;25.17
1420768800;09.01.2015 04:00;;;;;28.02;28.02;25.12;25.12
1420772400;09.01.2015 05:00;;;;;28.06;28.06;25.46;25.46
1420776000;09.01.2015 06:00;;;;;43.04;43.04;29.78;29.78
1420779600;09.01.2015 07:00;;;;;44.6;44.6;35.3;35.3
1420783200;09.01.2015 08:00;;;;;43.72;43.72;43.72;43.72
1420786800;09.01.2015 09:00;;;;;44.61;44.61;43.81;43.81
1420790400;09.01.2015 10:00;;;;;43.1;43.1;36.97;36.97
1420794000;09.01.2015 11:00;;;;;43.08;43.08;37.46;37.46
1420797600;09.01.2015 12:00;;;;;43.09;43.09;33.88;33.88
1420801200;09.01.2015 13:00;;;;;44.61;44.61;33.16;33.16
1420804800;09.01.2015 14:00;;;;;44.61;44.61;31.77;31.77
1420808400;09.01.2015 15:00;;;;;44.62;44.62;38.25;38.25
1420812000;09.01.2015 16:00;;;;;44.62;44.62;43.13;43.13
1420815600;09.01.2015 17:00;;;;;44.62;44.62;42.18;42.18
1420819200;09.01.2015 18:00;;;;;44.62;44.62;38.25;38.25
1420822800;09.01.2015 19:00;;;;;44.61;44.61;36.98;36.98
1420826400;09.01.2015 20:00;;;;;43.08;43.08;31.75;31.75
1420830000;09.01.2015 21:00;;;;;44.62;44.62;29.65;29.65
1420833600;09.01.2015 22:00;;;;;43.06;43.06;29.75;29.75
1420837200;09.01.2015 23:00;;;;;31.02;31.02;27.89;27.89
1420840800;10.01.2015 00:00;;;;;28.09;28.09;26.74;26.74
1420844400;10.01.2015 01:00;;;;;28.58;28.58;27.84;27.84
1420848000;10.01.2015 02:00;;;;;28.53;28.53;27.21;27.21
1420851600;10.01.2015 03:00;;;;;28.5;28.5;27.04;27.04
1420855200;10.01.2015 04:00;;;;;28.51;28.51;27.47;27.47
1420858800;10.01.2015 05:00;;;;;44.8;44.8;27.71;27.71
1420862400;10.01.2015 06:00;;;;;44.84;44.84;27.91;27.91
1420866000;10.01.2015 07:00;;;;;44.83;44.83;27.97;27.97
1420869600;10.01.2015 08:00;;;;;44.84;44.84;28.43;29.4
1420873200;10.01.2015 09:00;;;;;44.85;44.85;28.55;29.61
1420876800;10.01.2015 10:00;;;;;44.84;44.84;28.56;29.65
1420880400;10.01.2015 11:00;;;;;44.85;44.85;28.58;29.66
1420884000;10.01.2015 12:00;;;;;44.85;44.85;28.42;29.67
1420887600;10.01.2015 13:00;;;;;44.84;44.84;28.24;29.67
1420891200;10.01.2015 14:00;;;;;44.84;44.84;29.35;29.66
1420894800;10.01.2015 15:00;;;;;44.83;44.83;29.93;29.93
1420898400;10.01.2015 16:00;;;;;44.82;44.82;31.94;31.94
1420902000;10.01.2015 17:00;;;;;44.82;44.82;32.25;32.25
1420905600;10.01.2015 18:00;;;;;44.8;44.8;32.59;32.59
1420909200;10.01.2015 19:00;;;;;29.72;29.72;29.72;29.72
1420912800;10.01.2015 20:00;;;;;28.74;28.74;28.74;28.74
1420916400;10.01.2015 21:00;;;;;44.82;44.82;27.86;27.86
1420920000;10.01.2015 22:00;;;;;30.52;30.52;28.98;28.98
1420923600;10.01.2015 23:00;;;;;28.03;28.03;27.83;27.83
1420927200;11.01.2015 00:00;;;;;27.06;27.06;25.54;25.54
1420930800;11.01.2015 01:00;;;;;28.58;28.58;24.97;24.97
1420934400;11.01.2015 02:00;;;;;28.53;28.53;24.22;24.22
1420938000;11.01.2015 03:00;;;;;28.5;28.5;24.03;24.03
1420941600;11.01.2015 04:00;;;;;23.44;23.44;23.44;23.44
1420945200;11.01.2015 05:00;;;;;23.56;23.56;23.56;23.56
1420948800;11.01.2015 06:00;;;;;31.07;31.07;23.91;23.91
1420952400;11.01.2015 07:00;;;;;44.81;44.81;23.9;23.9
1420956000;11.01.2015 08:00;;;;;44.81;44.81;24.71;24.71
1420959600;11.01.2015 09:00;;;;;44.83;44.83;25.18;25.18
1420963200;11.01.2015 10:00;;;;;44.84;44.84;25.95;25.95
1420966800;11.01.2015 11:00;;;;;44.85;44.85;27.11;27.11
1420970400;11.01.2015 12:00;;;;;44.85;44.85;27.84;27.84
1420974000;11.01.2015 13:00;;;;;44.85;44.85;27.65;27.65
1420977600;11.01.2015 14:00;;;;;44.85;44.85;27.68;27.68
1420981200;11.01.2015 15:00;;;;;44.85;44.85;28.2;28.2
1420984800;11.01.2015 16:00;;;;;44.86;44.86;29.78;29.78
1420988400;11.01.2015 17:00;;;;;44.87;44.87;30.97;30.97
1420992000;11.01.2015 18:00;;;;;44.86;44.86;31.25;31.25
1420995600;11.01.2015 19:00;;;;;44.86;44.86;31.12;31.12
1420999200;11.01.2015 20:00;;;;;44.86;44.86;29.79;29.79
1421002800;11.01.2015 21:00;;;;;44.86;44.86;29.64;29.64
1421006400;11.01.2015 22:00;;;;;44.83;44.83;30.8;30.8
1421010000;11.01.2015 23:00;;;;;31.05;31.05;29.71;29.71
1421013600;12.01.2015 00:00;;;;;30.09;30.09;28.74;28.74
1421017200;12.01.2015 01:00;;;;;28.58;28.58;28.47;28.47
1421020800;12.01.2015 02:00;;;;;28.1;28.1;28.1;28.1
1421024400;12.01.2015 03:00;;;;;27.95;27.95;27.95;27.95
1421028000;12.01.2015 04:00;;;;;28.07;28.07;28.07;28.07
1421031600;12.01.2015 05:00;;;;;29.93;29.93;29.2;29.93
1421035200;12.01.2015 06:00;;;;;46.5;46.5;47.23;46.5
1421038800;12.01.2015 07:00;;;;;55.46;55.46;55.46;55.46
1421042400;12.01.2015 08:00;;;;;65.66;65.66;65.66;65.66
1421046000;12.01.2015 09:00;;;;;65.65;65.65;65.65;65.65
1421049600;12.01.2015 10:00;;;;;65.64;65.64;65.64;65.64
1421053200;12.01.2015 11:00;;;;;65.66;65.66;65.66;65.66
1421056800;12.01.2015 12:00;;;;;65.68;65.68;65.68;65.68
1421060400;12.01.2015 13:00;;;;;65.67;65.67;65.67;65.67
1421064000;12.01.2015 14:00;;;;;65.64;65.64;65.64;65.64
1421067600;12.01.2015 15:00;;;;;65.66;65.66;65.66;65.66
1421071200;12.01.2015 16:00;;;;;75;75;75;75
1421074800;12.01.2015 17:00;;;;;66.44;66.44;66.44;66.44
1421078400;12.01.2015 18:00;;;;;65.68;65.68;65.68;65.68
1421082000;12.01.2015 19:00;;;;;65.65;65.65;65.65;65.65
1421085600;12.01.2015 20:00;;;;;45.19;45.19;45.19;45.19
1421089200;12.01.2015 21:00;;;;;45.14;45.14;30.23;30.23
1421092800;12.01.2015 22:00;;;;;45.11;45.11;31.62;31.62
1421096400;12.01.2015 23:00;;;;;30.07;30.07;29.75;29.75
1421100000;13.01.2015 00:00;;;;;30.03;30.03;26.4;26.4
1421103600;13.01.2015 01:00;;;;;28.12;28.12;28.12;28.12
1421107200;13.01.2015 02:00;;;;;28.05;28.05;27.91;27.91
1421110800;13.01.2015 03:00;;;;;28.04;28.04;27.87;27.87
1421114400;13.01.2015 04:00;;;;;28.02;28.02;28.02;28.02
1421118000;13.01.2015 05:00;;;;;29.02;29.02;28.95;28.95
1421121600;13.01.2015 06:00;;;;;44.56;44.56;40.11;40.11
1421125200;13.01.2015 07:00;;;;;59.92;59.92;59.92;59.92
1421128800;13.01.2015 08:00;;;;;64.55;64.55;64.55;64.55
1421132400;13.01.2015 09:00;;;;;64.54;64.54;64.54;64.54
1421136000;13.01.2015 10:00;;;;;64.54;64.54;64.54;64.54
1421139600;13.01.2015 11:00;;;;;64.56;64.56;64.56;64.56
1421143200;13.01.2015 12:00;;;;;64.59;64.59;64.59;64.59
1421146800;13.01.2015 13:00;;;;;64.58;64.58;64.58;64.58
1421150400;13.01.2015 14:00;;;;;64.57;64.57;64.57;64.57
1421154000;13.01.2015 15:00;;;;;64.55;64.55;64.55;64.55
1421157600;13.01.2015 16:00;;;;;64.59;64.59;64.59;64.59
1421161200;13.01.2015 17:00;;;;;64.57;64.57;64.57;64.57
1421164800;13.01.2015 18:00;;;;;64.54;64.54;61.52;61.52
1421168400;13.01.2015 19:00;;;;;64.52;64.52;51.54;51.54
1421172000;13.01.2015 20:00;;;;;55.02;55.02;37.75;37.75
1421175600;13.01.2015 21:00;;;;;46.73;46.73;31.57;31.57
1421179200;13.01.2015 22:00;;;;;44.59;44.59;30.77;30.77
1421182800;13.01.2015 23:00;;;;;29.86;29.86;29.86;29.86
1421186400;14.01.2015 00:00;;;;;28.64;28.64;28.64;28.64
1421190000;14.01.2015 01:00;;;;;29.05;29.05;27.67;27.67
1421193600;14.01.2015 02:00;;;;;29.04;29.04;26;26
1421197200;14.01.2015 03:00;;;;;29.04;29.04;25.75;25.75
1421200800;14.01.2015 04:00;;;;;25.76;25.76;25.76;25.76
1421204400;14.01.2015 05:00;;;;;43.7;43.7;26.08;26.08
1421208000;14.01.2015 06:00;;;;;44.75;44.75;29.91;29.91
1421211600;14.01.2015 07:00;;;;;55.04;55.04;38.46;38.46
1421215200;14.01.2015 08:00;;;;;64.53;64.53;41.73;41.73
1421218800;14.01.2015 09:00;;;;;64.52;64.52;40.7;40.7
1421222400;14.01.2015 10:00;;;;;64.51;64.51;39.11;39.11
1421226000;14.01.2015 11:00;;;;;64.51;64.51;37.85;37.85
1421229600;14.01.2015 12:00;;;;;64.06;64.06;38.18;38.18
1421233200;14.01.2015 13:00;;;;;64.05;64.05;37.09;37.09
1421236800;14.01.2015 14:00;;;;;64.01;64.01;36.23;36.23
1421240400;14.01.2015 15:00;;;;;64.03;64.03;39.16;39.16
1421244000;14.01.2015 16:00;;;;;64.51;64.51;41.76;41.76
1421247600;14.01.2015 17:00;;;;;64.51;64.51;40.61;40.61
1421251200;14.01.2015 18:00;;;;;64.52;64.52;39.34;39.34
1421254800;14.01.2015 19:00;;;;;64;64;38.95;38.95
1421258400;14.01.2015 20:00;;;;;45.1;45.1;32.79;32.79
1421262000;14.01.2015 21:00;;;;;45.01;45.01;29.75;29.75
1421265600;14.01.2015 22:00;;;;;44.75;44.75;29.31;29.31
1421269200;14.01.2015 23:00;;;;;28.61;28.61;28.61;28.61
1421272800;15.01.2015 00:00;;;;;28.07;28.07;27.4;27.4
1421276400;15.01.2015 01:00;;;;;28.08;28.08;27.37;27.37
1421280000;15.01.2015 02:00;;;;;28.07;28.07;27.13;27.13
1421283600;15.01.2015 03:00;;;;;28.07;28.07;27.02;27.02
1421287200;15.01.2015 04:00;;;;;28.02;28.02;27.17;27.17
1421290800;15.01.2015 05:00;;;;;42.41;42.41;27.69;27.69
1421294400;15.01.2015 06:00;;;;;45.03;45.03;34.29;34.29
1421298000;15.01.2015 07:00;;;;;45.07;45.07;43.01;43.01
1421301600;15.01.2015 08:00;;;;;45.09;45.09;45.09;45.09
1421305200;15.01.2015 09:00;;;;;45.08;45.08;43.33;43.33
1421308800;15.01.2015 10:00;;;;;45.08;45.08;39.61;39.61
1421312400;15.01.2015 11:00;;;;;45.09;45.09;38.68;38.68
1421316000;15.01.2015 12:00;;;;;45.09;45.09;39.6;39.6
1421319600;15.01.2015 13:00;;;;;45.09;45.09;38.32;38.32
1421323200;15.01.2015 14:00;;;;;45.1;45.1;37.78;37.78
1421326800;15.01.2015 15:00;;;;;45.08;45.08;41.87;41.87
1421330400;15.01.2015 16:00;;;;;45.08;45.08;45.08;45.08
1421334000;15.01.2015 17:00;;;;;45.09;45.09;44.91;44.91
1421337600;15.01.2015 18:00;;;;;45.09;45.09;42.49;42.49
1421341200;15.01.2015 19:00;;;;;45.08;45.08;38.54;38.54
1421344800;15.01.2015 20:00;;;;;45.05;45.05;30.99;30.99
1421348400;15.01.2015 21:00;;;;;45.04;45.04;28.95;28.95
1421352000;15.01.2015 22:00;;;;;45.04;45.04;28.73;28.73
1421355600;15.01.2015 23:00;;;;;28.06;28.06;27.95;27.95
1421359200;16.01.2015 00:00;;;;;28.01;28.01;26.13;26.13
1421362800;16.01.2015 01:00;;;;;28.03;28.03;25.79;25.79
1421366400;16.01.2015 02:00;;;;;28.02;28.02;25.42;25.42
1421370000;16.01.2015 03:00;;;;;28.01;28.01;25.17;25.17
1421373600;16.01.2015 04:00;;;;;28.02;28.02;24.8;24.8
1421377200;16.01.2015 05:00;;;;;28.05;28.05;25.4;25.4
1421380800;16.01.2015 06:00;;;;;41.46;41.46;29.94;29.94
1421384400;16.01.2015 07:00;;;;;45.04;45.04;37.1;37.1
1421388000;16.01.2015 08:00;;;;;45.04;45.04;43.32;43.32
1421391600;16.01.2015 09:00;;;;;45.05;45.05;39.34;39.34
1421395200;16.01.2015 10:00;;;;;45.06;45.06;37.42;37.42
1421398800;16.01.2015 11:00;;;;;45.05;45.05;36.44;36.44
1421402400;16.01.2015 12:00;;;;;45.06;45.06;37.74;37.74
1421406000;16.01.2015 13:00;;;;;45.05;45.05;37.13;37.13
1421409600;16.01.2015 14:00;;;;;45.06;45.06;35.94;35.94
1421413200;16.01.2015 15:00;;;;;45.06;45.06;38.1;38.1
1421416800;16.01.2015 16:00;;;;;45.05;45.05;40.16;40.16
1421420400;16.01.2015 17:00;;;;;45.06;45.06;39.56;39.56
1421424000;16.01.2015 18:00;;;;;45.03;45.05;37.18;37.18
1421427600;16.01.2015 19:00;;;;;45.05;45.05;36;36
1421431200;16.01.2015 20:00;;;;;45.05;45.05;29.94;29.94
1421434800;16.01.2015 21:00;;;;;45.05;45.05;28.92;28.92
1421438400;16.01.2015 22:00;;;;;45.05;45.05;29.06;29.06
1421442000;16.01.2015 23:00;;;;;29.01;29.01;28.9;28.9
1421445600;17.01.2015 00:00;;;;;28.1;28.1;28.1;28.1
