Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Läti;NPS Leedu;NPS Soome;NPS Eesti
1420063200;01.01.2015 00:00;;;;;28.04;28.04;28.02;28.02
1420066800;01.01.2015 01:00;;;;;30.03;30.03;27.38;27.38
1420070400;01.01.2015 02:00;;;;;29.59;29.59;23.37;23.37
1420074000;01.01.2015 03:00;;;;;29.56;29.56;19.33;19.33
1420077600;01.01.2015 04:00;;;;;29.5;29.5;17.66;17.66
1420081200;01.01.2015 05:00;;;;;17.53;17.53;17.53;17.53
1420084800;01.01.2015 06:00;;;;;30.52;30.52;18.07;18.07
1420088400;01.01.2015 07:00;;;;;30.51;30.51;25.23;25.23
1420092000;01.01.2015 08:00;;;;;30.52;30.52;26.8;26.8
1420095600;01.01.2015 09:00;;;;;30.53;30.53;26.97;26.97
1420099200;01.01.2015 10:00;;;;;26.29;26.29;26.29;26.29
1420102800;01.01.2015 11:00;;;;;26.06;26.06;26.06;26.06
1420106400;01.01.2015 12:00;;;;;25.56;25.56;25.56;25.56
1420110000;01.01.2015 13:00;;;;;25.91;25.91;25.91;25.91
1420113600;01.01.2015 14:00;;;;;25.42;25.42;25.42;25.42
1420117200;01.01.2015 15:00;;;;;45.01;45.01;26.78;26.78
1420120800;01.01.2015 16:00;;;;;45.08;45.08;27.51;27.51
1420124400;01.01.2015 17:00;;;;;46;46;28.32;28.32
1420128000;01.01.2015 18:00;;;;;46;46;28.36;28.36
1420131600;01.01.2015 19:00;;;;;46.01;46.01;28.18;28.18
1420135200;01.01.2015 20:00;;;;;46.02;46.02;27.81;27.81
1420138800;01.01.2015 21:00;;;;;45.08;45.08;27.46;27.46
1420142400;01.01.2015 22:00;;;;;31.57;31.57;27.06;27.06
1420146000;01.01.2015 23:00;;;;;28.05;28.05;26.4;26.4
1420149600;02.01.2015 00:00;;;;;28.07;28.07;18.36;18.36
1420153200;02.01.2015 01:00;;;;;28.1;28.1;17.78;17.78
1420156800;02.01.2015 02:00;;;;;9.62;9.62;9.62;9.62
1420160400;02.01.2015 03:00;;;;;7.67;7.67;7.67;7.67
1420164000;02.01.2015 04:00;;;;;10.83;10.83;10.83;10.83
1420167600;02.01.2015 05:00;;;;;23.14;23.14;23.14;23.14
1420171200;02.01.2015 06:00;;;;;26.1;26.1;26.1;26.1
1420174800;02.01.2015 07:00;;;;;28.48;28.48;27.25;27.25
1420178400;02.01.2015 08:00;;;;;28.37;28.37;28.37;28.37
1420182000;02.01.2015 09:00;;;;;28.37;28.37;28.37;28.37
1420185600;02.01.2015 10:00;;;;;28.32;28.32;28.32;28.32
1420189200;02.01.2015 11:00;;;;;39.99;39.99;28.3;28.3
1420192800;02.01.2015 12:00;;;;;28.39;28.39;28.39;28.39
1420196400;02.01.2015 13:00;;;;;28.3;28.3;28.3;28.3
1420200000;02.01.2015 14:00;;;;;28.7;28.7;28.7;28.7
1420203600;02.01.2015 15:00;;;;;29.14;29.14;29.14;29.14
1420207200;02.01.2015 16:00;;;;;29.59;29.59;29.59;29.59
1420210800;02.01.2015 17:00;;;;;29.44;29.44;29.44;29.44
1420214400;02.01.2015 18:00;;;;;29.43;29.43;29.43;29.43
1420218000;02.01.2015 19:00;;;;;28.48;28.48;28.48;28.48
1420221600;02.01.2015 20:00;;;;;28.38;28.38;28.38;28.38
1420225200;02.01.2015 21:00;;;;;27.85;27.85;27.85;27.85
1420228800;02.01.2015 22:00;;;;;27.45;27.45;27.45;27.45
1420232400;02.01.2015 23:00;;;;;28.06;28.06;27.2;27.2
1420236000;03.01.2015 00:00;;;;;28.01;28.01;25.94;25.94
1420239600;03.01.2015 01:00;;;;;17.57;17.57;17.57;17.57
1420243200;03.01.2015 02:00;;;;;16.87;16.87;16.87;16.87
1420246800;03.01.2015 03:00;;;;;5.75;5.75;5.75;5.75
1420250400;03.01.2015 04:00;;;;;5.09;5.09;5.09;5.09
1420254000;03.01.2015 05:00;;;;;7.64;7.64;7.64;7.64
1420257600;03.01.2015 06:00;;;;;23.85;23.85;23.85;23.85
1420261200;03.01.2015 07:00;;;;;22.92;22.92;22.92;22.92
1420264800;03.01.2015 08:00;;;;;40.01;40.01;26.75;26.75
1420268400;03.01.2015 09:00;;;;;26.98;26.98;26.98;26.98
1420272000;03.01.2015 10:00;;;;;27.52;27.52;27.52;27.52
1420275600;03.01.2015 11:00;;;;;40.02;40.02;27.72;27.72
1420279200;03.01.2015 12:00;;;;;40.03;40.03;27.73;27.73
1420282800;03.01.2015 13:00;;;;;40.03;40.03;27.66;27.66
1420286400;03.01.2015 14:00;;;;;39.98;39.98;27.65;27.65
1420290000;03.01.2015 15:00;;;;;27.81;27.81;27.81;27.81
1420293600;03.01.2015 16:00;;;;;40.03;40.03;30.21;30.21
1420297200;03.01.2015 17:00;;;;;40.04;40.04;31.09;31.09
1420300800;03.01.2015 18:00;;;;;31.07;31.07;31.07;31.07
1420304400;03.01.2015 19:00;;;;;30.65;30.65;30.65;30.65
1420308000;03.01.2015 20:00;;;;;40.01;40.01;29.46;29.46
1420311600;03.01.2015 21:00;;;;;28.69;28.69;28.69;28.69
1420315200;03.01.2015 22:00;;;;;31.52;31.52;27.93;27.93
1420318800;03.01.2015 23:00;;;;;28.02;28.02;27.7;27.7
1420322400;04.01.2015 00:00;;;;;27.25;27.25;27.25;27.25
1420326000;04.01.2015 01:00;;;;;27.55;27.55;27.55;27.55
1420329600;04.01.2015 02:00;;;;;27.38;27.38;27.38;27.38
1420333200;04.01.2015 03:00;;;;;27.17;27.17;27.17;27.17
1420336800;04.01.2015 04:00;;;;;27.03;27.03;27.03;27.03
1420340400;04.01.2015 05:00;;;;;27.04;27.04;27.04;27.04
1420344000;04.01.2015 06:00;;;;;27.19;27.19;27.19;27.19
1420347600;04.01.2015 07:00;;;;;27.13;27.13;27.13;27.13
1420351200;04.01.2015 08:00;;;;;27.06;27.06;27.06;27.06
1420354800;04.01.2015 09:00;;;;;27.63;27.63;27.63;27.63
1420358400;04.01.2015 10:00;;;;;28.03;28.03;28.03;28.03
