Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1483221600;01.01.2017 00:00;796.8228;889.951;769;861.1;25.95;25.95;25.95;25.95
1483225200;01.01.2017 01:00;770.2532;859.8616;766.6;834.5;24.03;24.03;24.03;24.03
1483228800;01.01.2017 02:00;740.2681;818.5464;741;820.5;24.03;24.03;24.03;24.03
1483232400;01.01.2017 03:00;711.836;819.125;725.1;811.3;24.02;24.02;24.02;24.02
1483236000;01.01.2017 04:00;685.8918;809.1138;718.7;802.9;23.19;23.19;23.19;23.19
1483239600;01.01.2017 05:00;684.2531;798.7778;718.9;796;24.1;24.1;24.1;24.1
1483243200;01.01.2017 06:00;673.7388;784.6379;740.2;786.1;25.01;25.01;25.01;25.01
1483246800;01.01.2017 07:00;694.4396;771.941;765.9;776.6;25.62;25.62;25.62;25.62
1483250400;01.01.2017 08:00;717.0569;770.1949;793.5;801;25.87;25.87;25.87;25.87
1483254000;01.01.2017 09:00;731.8875;744.9442;812.9;818;26.18;26.18;26.18;26.18
1483257600;01.01.2017 10:00;749.244;775.4917;857.5;796.3;25.74;25.74;25.74;25.74
1483261200;01.01.2017 11:00;789.1968;754.618;890.3;792;26.89;26.89;26.89;26.89
1483264800;01.01.2017 12:00;819.9658;772.539;896.8;785.8;27.48;27.48;27.48;27.48
1483268400;01.01.2017 13:00;836.5079;751.1001;897.5;790.4;28.04;28.04;28.04;28.04
1483272000;01.01.2017 14:00;848.2145;811.3906;898.5;825.1;28.7;28.7;28.7;28.7
1483275600;01.01.2017 15:00;874.0717;839.3799;928.8;838.3;29.66;29.66;29.66;29.66
1483279200;01.01.2017 16:00;926.9852;861.9272;1000.8;865.1;30.38;30.38;30.38;30.38
1483282800;01.01.2017 17:00;961.7846;846.3936;1005.2;878.9;30.8;30.8;30.8;30.8
1483286400;01.01.2017 18:00;972.2781;884.1635;993.4;900.3;30.93;30.93;30.93;30.93
1483290000;01.01.2017 19:00;963.7266;885.5416;977.5;915;30.78;30.78;30.78;30.78
1483293600;01.01.2017 20:00;957.279;921.9329;955.7;914.9;30.51;30.51;30.51;30.51
1483297200;01.01.2017 21:00;949.6135;944.5303;934.6;914;30.19;30.19;30.19;30.19
1483300800;01.01.2017 22:00;900.9951;930.6738;885;915.1;29.94;29.94;29.94;29.94
1483304400;01.01.2017 23:00;869.5663;937.7688;839;938;29.65;29.65;29.65;29.65
1483308000;02.01.2017 00:00;819.7272;979.6026;796.4;953.8;29.36;29.36;29.36;29.36
1483311600;02.01.2017 01:00;759.9382;986.6028;768.3;992.1;29.4;29.4;29.4;29.4
1483315200;02.01.2017 02:00;738.5789;1006.0421;749.4;1020.4;28.91;28.91;28.91;28.91
1483318800;02.01.2017 03:00;717.2583;1007.4759;740.2;1041.8;28.11;28.11;28.11;28.11
1483322400;02.01.2017 04:00;717.1909;1020.2422;745.7;1020.4;27.89;27.89;27.89;27.89
1483326000;02.01.2017 05:00;728.6808;1014.6741;777.1;1055.6;28.26;28.26;28.26;28.26
1483329600;02.01.2017 06:00;779.1492;1020.0007;878.1;1059.1;30.43;30.43;30.43;30.43
1483333200;02.01.2017 07:00;901.1702;977.4907;1013.8;1058.9;32.85;32.85;32.85;32.85
1483336800;02.01.2017 08:00;1035.92;963.5646;1140.3;1154.8;33.91;33.91;33.91;33.91
1483340400;02.01.2017 09:00;1129.1254;1138.1825;1166.2;1267.6;34.87;34.87;34.87;34.87
1483344000;02.01.2017 10:00;1159.6047;1150.2379;1189.1;1237.6;35.22;35.22;35.22;35.22
1483347600;02.01.2017 11:00;1172.4742;1084.9738;1185.6;1234.4;35.41;35.41;35.41;35.41
1483351200;02.01.2017 12:00;1167.4583;1231.0653;1179.6;1232.9;35.07;35.07;35.07;35.07
1483354800;02.01.2017 13:00;1172.7693;1245.8602;1190.3;1232.8;34.85;34.85;34.85;34.85
1483358400;02.01.2017 14:00;1182.0381;1194.7787;1185.7;1232.8;34.7;34.7;34.7;34.7
1483362000;02.01.2017 15:00;1198.7587;1198.2251;1208.2;1232.4;34.8;34.8;34.8;34.8
1483365600;02.01.2017 16:00;1241.0626;1246.1603;1256;1234.3;35.93;35.93;35.93;35.93
1483369200;02.01.2017 17:00;1258.6681;1282.5764;1233.2;1447.7;37.52;37.52;37.52;37.52
1483372800;02.01.2017 18:00;1243.7048;1374.5322;1207.7;1458.5;38.48;38.48;40.01;38.48
