Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1546592400;04.01.2019 11:00;1345.3577;1140.61;1347.9;1135.7;59.92;59.92;59.92;59.92
1546596000;04.01.2019 12:00;1335.225;1134.0153;1336.4;1075.8;57.99;57.99;57.99;57.99
1546599600;04.01.2019 13:00;1337.4489;1101.7886;1343.5;1104.7;58.43;58.43;58.43;58.43
1546603200;04.01.2019 14:00;1332.9808;1128.2133;1324.3;1131.5;57.98;57.98;57.98;57.98
1546606800;04.01.2019 15:00;1312.96;1130.9093;1334.5;1117.6;58.37;58.37;58.37;58.37
1546610400;04.01.2019 16:00;1329.7891;1150.2709;1353.9;1093.3;60.67;60.67;60.67;60.67
1546614000;04.01.2019 17:00;1335.5226;1124.0043;1342.4;1106.9;59.95;59.95;59.95;59.95
1546617600;04.01.2019 18:00;1331.9955;1132.379;1310;1116.2;59.92;59.92;59.92;59.92
1546621200;04.01.2019 19:00;1279.8641;1125.2853;1274.2;1109.9;57.58;57.58;57.58;57.58
1546624800;04.01.2019 20:00;1237.5499;1130.6749;1229.4;1063.3;59.1;59.1;59.1;59.1
1546628400;04.01.2019 21:00;1190.9014;1124.4341;1182.8;988.8;54.22;54.22;54.22;54.22
1546632000;04.01.2019 22:00;1119.0895;1019.8495;1107.3;903.5;50.45;50.45;50.45;50.45
1546635600;04.01.2019 23:00;1044.2648;934.0886;1034.8;906;49.79;49.79;49.79;49.79
1546639200;05.01.2019 00:00;987.4346;928.741;971.8;910.9;49.02;49.02;49.02;49.02
1546642800;05.01.2019 01:00;928.2363;921.0931;966.7;932.5;48.42;48.42;48.42;48.42
1546646400;05.01.2019 02:00;896.0002;913.168;948.4;939;47.52;47.52;47.52;47.52
1546650000;05.01.2019 03:00;859.0627;939.0882;936;943.6;47.19;47.19;46.98;47.19
1546653600;05.01.2019 04:00;855.9672;913.736;942.9;945.8;47;47;47;47
1546657200;05.01.2019 05:00;853.2009;902.8764;951.7;954.7;47.01;47.01;47.01;47.01
1546660800;05.01.2019 06:00;881.4445;907.489;989.9;961.2;47.33;47.33;47.33;47.33
1546664400;05.01.2019 07:00;926.653;900.8889;1049.8;963.5;47.59;47.59;47.59;47.59
1546668000;05.01.2019 08:00;978.614;888.4678;1118.7;962.4;48.22;48.22;48.22;48.22
1546671600;05.01.2019 09:00;1034.2769;892.8369;1171.2;999;49.99;49.99;49.99;49.99
1546675200;05.01.2019 10:00;1090.0038;990.9339;1198.5;1069.8;51.47;51.47;51.47;51.47
1546678800;05.01.2019 11:00;1129.951;988.1795;1215.7;1094.1;52.53;52.53;52.53;52.53
1546682400;05.01.2019 12:00;1139.8806;992.7576;1213.9;1030.2;53.49;53.49;53.49;53.49
1546686000;05.01.2019 13:00;1145.8533;972.5297;1215.3;1018.5;53.64;53.64;53.64;53.64
1546689600;05.01.2019 14:00;1155.8461;980.4764;1215.7;1027.7;52.93;52.93;52.93;52.93
1546693200;05.01.2019 15:00;1146.7513;973.1365;1233.7;995.5;52.45;52.45;52.45;52.45
1546696800;05.01.2019 16:00;1179.7061;962.4357;1275.5;994.6;57.13;57.13;56.59;57.13
1546700400;05.01.2019 17:00;1236.3989;967.1614;1283.1;996.9;62.87;62.87;62.87;62.87
1546704000;05.01.2019 18:00;1215.0513;945.6303;1263.5;989.6;61.07;61.07;61.07;61.07
1546707600;05.01.2019 19:00;1201.7347;963.0233;1236;974.9;60.51;60.51;60.51;60.51
1546711200;05.01.2019 20:00;1186.75;939.0379;1201;968.2;58.88;58.88;58.88;58.88
1546714800;05.01.2019 21:00;1148.9838;929.502;1167;962.3;52.75;52.75;52.75;52.75
1546718400;05.01.2019 22:00;1082.3251;931.8607;1103;942.4;51.9;51.9;51.9;51.9
1546722000;05.01.2019 23:00;1032.5763;921.97;1040.5;923.8;51.13;51.13;51.13;51.13
1546725600;06.01.2019 00:00;968.4727;915.4611;991.9;914.2;50.21;50.21;50.21;50.21
1546729200;06.01.2019 01:00;926.7045;904.6785;964.5;846.8;50.29;50.29;50.29;50.29
1546732800;06.01.2019 02:00;896.6728;824.3176;938.4;861.1;49.03;49.03;49.03;49.03
1546736400;06.01.2019 03:00;878.8938;849.6381;935.6;839.9;48.81;48.81;48.81;48.81
1546740000;06.01.2019 04:00;866.7565;815.4148;935.3;837;48.66;48.66;48.66;48.66
1546743600;06.01.2019 05:00;869.3281;805.7924;944.6;837.2;47.82;47.82;47.82;47.82
1546747200;06.01.2019 06:00;897.0117;816.9778;976.8;835.9;48.72;48.72;48.72;48.72
1546750800;06.01.2019 07:00;929.9263;812.4819;1030.9;850.6;49.38;49.38;49.38;49.38
1546754400;06.01.2019 08:00;973.9787;819.284;1102.5;866.6;49.65;49.65;49.65;49.65
1546758000;06.01.2019 09:00;1012.3788;778.5486;1147.7;889.9;50.44;50.44;50.44;50.44
1546761600;06.01.2019 10:00;1070.4459;849.206;1173.5;975.9;51.68;51.68;51.68;51.68
1546765200;06.01.2019 11:00;1101.9031;955.7778;1185.8;984.1;52.35;52.35;52.35;52.35
1546768800;06.01.2019 12:00;1111.0107;945.6335;1191.1;988.4;52.77;52.77;52.77;52.77
1546772400;06.01.2019 13:00;1122.8656;946.5945;1192.8;1070.5;52.86;52.86;52.86;52.86
1546776000;06.01.2019 14:00;1112.2579;1007.9639;1193.6;1111.3;52.44;52.44;52.44;52.44
1546779600;06.01.2019 15:00;1123.3224;1068.4496;1215.8;1063.5;51.52;51.52;51.52;51.52
1546783200;06.01.2019 16:00;1163.7838;1050.9249;1267.4;1141.3;51.57;51.57;51.57;51.57
1546786800;06.01.2019 17:00;1235.795;1184.4215;1274.9;1281.7;53.28;53.28;53.4;53.4
1546790400;06.01.2019 18:00;1230.8022;1240.0743;1255.4;1292.6;55.25;55.25;61.91;61.91
1546794000;06.01.2019 19:00;1202.9935;1212.2286;1230.6;1304.8;54.25;54.25;61.36;61.36
1546797600;06.01.2019 20:00;1185.1703;1219.8242;1198.7;1326.4;52.9;52.9;58.57;58.57
1546801200;06.01.2019 21:00;1147.4401;1230.4456;1151.3;1335.6;51.95;51.95;51.95;51.95
1546804800;06.01.2019 22:00;1065.1644;1284.2584;1086.3;1324.8;51.57;51.57;51.57;51.57
1546808400;06.01.2019 23:00;994.3933;1253.5649;1023.6;1217.2;50.71;50.71;50.71;50.71
1546812000;07.01.2019 00:00;924.1655;1129.7555;976.1;1119.7;49.94;49.94;49.94;49.94
1546815600;07.01.2019 01:00;891.9063;1043.3306;934.2;1311.8;48.62;48.62;48.62;48.62
1546819200;07.01.2019 02:00;871.0157;1279.6834;914.1;1315.3;47.98;47.98;47.98;47.98
1546822800;07.01.2019 03:00;863.7434;1278.6273;911;1315.8;47.84;47.84;47.84;47.84
1546826400;07.01.2019 04:00;859.5961;1290.2521;918.5;1319.9;46.96;46.96;46.96;46.96
1546830000;07.01.2019 05:00;868.2095;1304.547;960.3;1342.3;48.09;48.09;48.09;48.09
1546833600;07.01.2019 06:00;937.7725;1363.0948;1091.8;1459.3;49.87;49.87;49.87;49.87
1546837200;07.01.2019 07:00;1120.6528;1383.6759;1242.8;1435.1;52.74;52.74;53.51;53.51
1546840800;07.01.2019 08:00;1241.865;1391.8901;1349.4;1421.3;56.79;56.79;66.97;66.97
1546844400;07.01.2019 09:00;1316.8055;1368.639;1367.1;1411.4;57.94;57.94;72.85;72.85
1546848000;07.01.2019 10:00;1311.2308;1359.1698;1373.3;1363.1;56.9;56.9;73.13;73.13
1546851600;07.01.2019 11:00;1327.9858;1353.4821;1364.3;1349;56.28;56.28;72.32;72.32
1546855200;07.01.2019 12:00;1293.3387;1334.0148;1344.6;1302.4;55.56;55.56;69.52;69.52
1546858800;07.01.2019 13:00;1326.912;1303.1622;1358.4;1308.2;55.14;55.14;67.13;67.13
1546862400;07.01.2019 14:00;1333.4081;1288.1779;1347;1315.2;54.16;54.16;65.15;65.15
1546866000;07.01.2019 15:00;1307.1863;1298.1862;1366.5;1302.1;53.73;53.73;61.36;61.36
1546869600;07.01.2019 16:00;1334.583;1009.4443;1381.5;1244.5;53.25;53.25;62.18;62.18
1546873200;07.01.2019 17:00;1338.0547;993.7484;1361;1224;53.26;53.26;68.03;68.03
1546876800;07.01.2019 18:00;1323.2589;972.4791;1343;1206;53;53;67.23;67.23
1546880400;07.01.2019 19:00;1277.4116;1147.4786;1308;1283.9;51.59;51.59;61.38;61.38
1546884000;07.01.2019 20:00;1240.1915;1260.2303;1264;1284.6;51.54;51.54;62.68;62.68
1546887600;07.01.2019 21:00;1194.3223;1265.9686;1216.5;1288.6;50.6;50.6;50.6;50.6
1546891200;07.01.2019 22:00;1121.1852;1268.5386;1136.6;1298.4;50.03;50.03;50.03;50.03
1546894800;07.01.2019 23:00;1014.3447;1287.4285;1045.2;1230.9;49.11;49.11;49.11;49.11
1546898400;08.01.2019 00:00;932.556;1228.808;981.5;1246;46.75;46.75;46.75;46.75
1546902000;08.01.2019 01:00;902.0566;1151.2876;955.8;1063.1;46.94;46.94;46.94;46.94
1546905600;08.01.2019 02:00;872.9392;1064.4132;935.6;1071;46.34;46.34;46.34;46.34
1546909200;08.01.2019 03:00;858.4351;1044.3229;926.4;1080.3;46.24;46.24;46.24;46.24
1546912800;08.01.2019 04:00;855.381;1075.2249;932.4;1092.5;46.28;46.28;46.28;46.28
1546916400;08.01.2019 05:00;862.1625;1075.7191;971.3;1108.5;46.7;46.7;46.7;46.7
1546920000;08.01.2019 06:00;923.3342;1063.1461;1088.5;1119.4;47.86;47.86;47.86;47.86
1546923600;08.01.2019 07:00;1094.2695;1092.4442;1242.4;1200.4;50.08;50.08;50.08;50.08
1546927200;08.01.2019 08:00;1214.6431;1267.9624;1351.9;1380.7;55.65;55.65;55.65;55.65
1546930800;08.01.2019 09:00;1293.7926;1324.712;1375.1;1394.8;55.4;55.4;62.2;62.2
1546934400;08.01.2019 10:00;1288.2021;1309.5447;1381.4;1333.5;55.64;55.64;64.93;64.93
1546938000;08.01.2019 11:00;1285.425;1265.1212;1373;1359.6;55.65;55.65;64.61;64.61
1546941600;08.01.2019 12:00;1274.3008;1307.8727;1358.1;1348.8;55.65;55.65;64.7;64.7
1546945200;08.01.2019 13:00;1279.2617;1302.2819;1372.4;1348.9;53.64;53.64;68.06;68.06
1546948800;08.01.2019 14:00;1278.0363;1294.9904;1358.6;1347.9;55.65;55.65;70.02;70.02
1546952400;08.01.2019 15:00;1276.8182;1296.7584;1391.4;1343.7;57.62;57.62;70.06;70.06
1546956000;08.01.2019 16:00;1302.2074;1295.1006;1411.8;1339.7;55.93;55.93;70.67;70.67
1546959600;08.01.2019 17:00;1316.8546;1289.595;1394;1336.1;55.58;55.58;73.08;73.08
1546963200;08.01.2019 18:00;1316.845;1282.8529;1365.8;1327.5;55.58;55.58;73.06;73.06
1546966800;08.01.2019 19:00;1266.1415;1287.8617;1328.1;1324.4;57.1;57.1;69.95;69.95
1546970400;08.01.2019 20:00;1235.3652;1271.8224;1290.7;1314.6;54.01;54.01;66.23;66.23
1546974000;08.01.2019 21:00;1198.3864;1270.3873;1229.5;1144.6;50.9;50.9;62.34;62.34
1546977600;08.01.2019 22:00;1129.9418;1018.2419;1146.8;1059;49.7;49.7;49.7;49.7
1546981200;08.01.2019 23:00;1028.0392;992.2231;1066;1054.4;49.03;49.03;49.03;49.03
1546984800;09.01.2019 00:00;941.543;996.6788;1010.8;1052.5;46.45;46.45;46.45;46.45
1546988400;09.01.2019 01:00;899.6231;1006.4189;957.5;1089.3;45.75;45.75;45.75;45.75
1546992000;09.01.2019 02:00;877.4482;1069.0592;939.3;1081.3;44.41;44.41;44.41;44.41
1546995600;09.01.2019 03:00;877.0466;1030.0961;935.4;1075.8;43.87;43.87;43.87;43.87
1546999200;09.01.2019 04:00;886.064;1022.3555;946.6;1069;43.93;43.93;43.93;43.93
1547002800;09.01.2019 05:00;915.996;1017.1354;980.3;1068;45.55;45.55;45.55;45.55
1547006400;09.01.2019 06:00;972.9094;1051.3715;1104.2;1134.2;49.43;49.61;48.21;49.43
1547010000;09.01.2019 07:00;1150.3378;1268.6332;1259.9;1315;59.24;59.06;59.24;59.24
1547013600;09.01.2019 08:00;1278.1141;1290.3541;1365.4;1307.9;65.04;65.04;65.04;65.04
1547017200;09.01.2019 09:00;1333.3353;1277.3783;1387;1318.4;64.93;64.93;64.93;64.93
1547020800;09.01.2019 10:00;1318.7853;1284.6357;1395.5;1309.5;62.33;62.33;65.53;65.53
1547024400;09.01.2019 11:00;1338.4869;1274.0116;1383;1334.1;62.57;62.57;65.31;65.31
1547028000;09.01.2019 12:00;1306.6483;1311.4249;1368.4;1301.3;65.82;65.82;65.82;65.82
1547031600;09.01.2019 13:00;1315.8619;1252.4362;1384.5;1301.4;66.6;66.6;66.6;66.6
1547035200;09.01.2019 14:00;1338.1301;1267.6356;1372.7;1299.9;67.08;67.08;67.08;67.08
1547038800;09.01.2019 15:00;1319.9562;1274.4269;1389.7;1300.9;66.44;66.44;66.44;66.44
1547042400;09.01.2019 16:00;1336.734;1268.3011;1415;1318.3;69.52;69.52;69.52;69.52
1547046000;09.01.2019 17:00;1359.2018;1284.4972;1406.4;1323.6;70.47;70.47;70.47;70.47
1547049600;09.01.2019 18:00;1349.7203;1280.9106;1383.4;1379.3;70.43;70.43;70.43;70.43
1547053200;09.01.2019 19:00;1320.897;1334.5969;1350.9;1385;67.09;67.09;67.09;67.09
1547056800;09.01.2019 20:00;1260.9022;1341.9733;1311;1382.8;58.77;58.77;66.73;66.73
1547060400;09.01.2019 21:00;1244.8673;1328.2916;1258.5;1377.5;52.98;52.98;52.98;52.98
1547064000;09.01.2019 22:00;1175.9844;1311.1117;1172.7;1382.9;51.68;51.68;51.68;51.68
1547067600;09.01.2019 23:00;1057.7388;1323.6881;1092.1;1395.9;50.96;50.96;50.96;50.96
1547071200;10.01.2019 00:00;978.2603;1343.1576;1027.8;1402.1;49.96;49.96;49.96;49.96
1547074800;10.01.2019 01:00;923.2373;1377.9691;969.6;1414.9;50.51;50.51;50.51;50.51
1547078400;10.01.2019 02:00;915.4082;1371.2446;953.5;1412.8;49.98;49.98;49.98;49.98
1547082000;10.01.2019 03:00;901.4467;1414.0602;949.2;1491.9;49.55;49.55;49.55;49.55
1547085600;10.01.2019 04:00;893.4057;1456.2412;959.9;1514.3;49.98;49.98;49.98;49.98
1547089200;10.01.2019 05:00;914.5877;1532.7015;998.5;1585.8;49.94;49.94;49.94;49.94
1547092800;10.01.2019 06:00;980.4488;1592.2886;1119.3;1619.1;51.9;51.9;51.9;51.9
1547096400;10.01.2019 07:00;1147.0343;1587.3075;1271.7;1622.1;59.32;59.32;59.32;59.32
1547100000;10.01.2019 08:00;1276.4191;1572.0116;1384.4;1607.1;70.86;70.86;70.86;70.86
1547103600;10.01.2019 09:00;1347.9663;1575.806;1407.9;1613.5;79.23;79.23;79.23;79.23
1547107200;10.01.2019 10:00;1355.2456;1569.6348;1407.5;1612.1;79.17;79.17;79.17;79.17
1547110800;10.01.2019 11:00;1371.6227;1570.6533;1402.2;1601.2;78.55;78.55;78.55;78.55
1547114400;10.01.2019 12:00;1334.0375;1563.923;1390;1598.9;77.44;77.44;77.92;77.44
1547118000;10.01.2019 13:00;1360.1077;1562.0352;1405.4;1599.1;69.66;69.66;74.56;74.56
1547121600;10.01.2019 14:00;1350.8903;1566.9967;1393.8;1599.9;63.61;63.61;73.2;73.2
1547125200;10.01.2019 15:00;1343.0497;1550.1478;1402;1599.6;59.94;59.94;74.24;74.24
1547128800;10.01.2019 16:00;1365.0309;1543.4733;1424.8;1602.7;59.01;59.01;73.59;73.59
1547132400;10.01.2019 17:00;1385.7325;1580.2104;1412;1608.1;59.57;59.57;74.94;74.94
1547136000;10.01.2019 18:00;1371.849;1476.7743;1384.3;1537;59.21;59.21;81.45;81.45
1547139600;10.01.2019 19:00;1323.9614;1564.1963;1349;1627.2;56.38;56.38;77.82;75.67
1547143200;10.01.2019 20:00;1280.9668;1611.4772;1304.4;1639.3;54.28;54.28;74.38;73.58
1547146800;10.01.2019 21:00;1239.5624;1616.5443;1242.8;1647.8;52.78;52.78;60.6;60.6
1547150400;10.01.2019 22:00;1161.1669;1652.973;1159.9;1690.4;52.01;52.01;52.01;52.01
1547154000;10.01.2019 23:00;1058.1212;1672.1429;1068.1;1697.7;49.99;49.99;49.99;49.99
1547157600;11.01.2019 00:00;976.3651;1678.4;1004.8;1728.3;48.11;48.11;48.11;48.11
1547161200;11.01.2019 01:00;925.7786;1681.6733;979.2;1467.6;47.84;47.84;47.84;47.84
1547164800;11.01.2019 02:00;897.3213;1390.9683;962.7;1449.9;46.58;46.58;46.58;46.58
1547168400;11.01.2019 03:00;887.7737;1380.8029;955.6;1464.1;45.74;45.74;45.74;45.74
1547172000;11.01.2019 04:00;883.5253;1386.9718;964.5;1473.6;43.81;43.81;43.81;43.81
1547175600;11.01.2019 05:00;906.7297;1398.7462;993.9;1484.3;46.24;46.24;46.24;46.24
1547179200;11.01.2019 06:00;974.7585;1465.7216;1110.3;1542.6;47.69;47.69;47.69;47.69
1547182800;11.01.2019 07:00;1136.6923;1491.4385;1272.7;1610.1;55.06;55.06;56.02;56.02
1547186400;11.01.2019 08:00;1277.2181;1513.1635;1382.1;1573.5;56.55;56.55;66.22;66.22
1547190000;11.01.2019 09:00;1343.7749;1502.2281;1398.3;1553.4;56.63;56.63;67.19;67.19
1547193600;11.01.2019 10:00;1338.7081;1509.7762;1402;1484.4;56.02;56.02;62.07;62.07
1547197200;11.01.2019 11:00;1351.6381;1472.8578;1392.4;1486.7;55.41;55.41;60.45;60.45
1547200800;11.01.2019 12:00;1312.9365;1480.1791;1375.8;1526.9;53.83;53.83;60.43;60.43
1547204400;11.01.2019 13:00;1329.0433;1482.7324;1372.7;1525.7;52.73;52.73;60.41;60.41
1547208000;11.01.2019 14:00;1301.9846;1495.359;1357.4;1509.8;52.31;52.31;59.95;59.95
1547211600;11.01.2019 15:00;1273.2286;1491.3506;1358.1;1504.1;54.92;54.92;59.11;59.11
1547215200;11.01.2019 16:00;1291.1936;1482.7958;1379.2;1528.7;56.36;56.36;59.1;59.1
1547218800;11.01.2019 17:00;1315.5215;1496.6429;1356.5;1548.5;56.38;56.38;60.55;60.55
1547222400;11.01.2019 18:00;1292.3245;1529.4352;1333.3;1593.9;55.86;55.86;60.52;60.52
1547226000;11.01.2019 19:00;1254.6636;1527.108;1297.6;1564.9;55.68;55.68;59.14;59.14
1547229600;11.01.2019 20:00;1212.2472;1520.9557;1257.8;1598;49.64;49.64;58.78;58.78
1547233200;11.01.2019 21:00;1164.1606;1540.161;1203.6;1580.7;48.93;48.93;54.82;54.82
1547236800;11.01.2019 22:00;1069.1031;1546.4658;1121.8;1601.4;48.34;48.34;48.34;48.34
1547240400;11.01.2019 23:00;1010.7651;1495.5321;1041.8;1597.9;47.54;47.54;47.54;47.54
1547244000;12.01.2019 00:00;932.7713;1578.9116;981.3;1554.5;45.03;45.03;45.03;45.03
