Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1546293600;01.01.2019 00:00;841.3594;861.6619;900.6;918.4;25.7;25.7;25.7;25.7
1546297200;01.01.2019 01:00;845.1042;856.9011;887.1;917.7;28.32;28.32;28.32;28.32
1546300800;01.01.2019 02:00;828.5261;856.7436;855.2;933.1;10.07;10.07;10.07;10.07
1546304400;01.01.2019 03:00;800.8177;888.6304;843.4;901.6;10.03;10.03;10.03;10.03
1546308000;01.01.2019 04:00;775.2657;848.4584;841.2;893.9;4.56;4.56;4.56;4.56
1546311600;01.01.2019 05:00;766.0713;821.8892;847.6;889.5;4.83;4.83;4.83;4.83
1546315200;01.01.2019 06:00;759.4321;828.1063;856.5;889.1;8.09;8.09;8.09;8.09
1546318800;01.01.2019 07:00;769.3235;826.159;879.8;889.8;25.54;25.54;25.54;25.54
1546322400;01.01.2019 08:00;791.4178;886.7198;910.1;1060.1;39.16;39.16;39.16;39.16
1546326000;01.01.2019 09:00;800.1725;1020.3972;923.4;988.5;37.66;37.66;37.66;37.66
1546329600;01.01.2019 10:00;805.3784;921.9683;955.5;869.1;21.52;21.52;21.52;21.52
1546333200;01.01.2019 11:00;850.9597;782.9345;982.5;858.6;28.25;28.25;28.25;28.25
1546336800;01.01.2019 12:00;876.1857;791.7845;997.5;843.4;19.29;19.29;19.29;19.29
1546340400;01.01.2019 13:00;887.1572;749.4517;1004.3;820.5;19.32;19.32;19.32;19.32
1546344000;01.01.2019 14:00;887.2448;744.2991;1014.9;804.6;16.21;16.21;16.21;16.21
1546347600;01.01.2019 15:00;890.5068;751.9332;1048.7;791.1;21.47;21.47;21.47;21.47
1546351200;01.01.2019 16:00;924.9482;740.878;1090.7;793.9;32.69;32.69;32.69;32.69
1546354800;01.01.2019 17:00;978.0422;780.0046;1093.5;786.6;29.34;29.34;29.34;29.34
1546358400;01.01.2019 18:00;979.639;813.5588;1084.9;910.6;30.19;30.19;30.19;30.19
1546362000;01.01.2019 19:00;987.7451;808.9056;1064.4;996.4;30.09;30.09;30.09;30.09
1546365600;01.01.2019 20:00;969.4044;910.1194;1043.5;1011.3;29.58;29.58;29.58;29.58
1546369200;01.01.2019 21:00;954.7326;866.9616;1003;1006.5;36.91;36.91;36.91;36.91
1546372800;01.01.2019 22:00;915.3875;856.6567;960.6;934;33.14;33.14;33.14;33.14
1546376400;01.01.2019 23:00;859.4453;859.4551;911.3;872;21.61;21.61;21.61;21.61
1546380000;02.01.2019 00:00;820.6297;819.9142;872.6;803.7;4.04;4.04;4.04;4.04
1546383600;02.01.2019 01:00;775.2546;766.1353;855.6;842.3;9.7;9.7;9.7;9.7
1546387200;02.01.2019 02:00;747.2618;756.8831;840.6;847.3;6.32;6.32;2.15;6.32
1546390800;02.01.2019 03:00;719.8191;768.1934;832.9;854.8;4.35;4.35;1.17;4.35
1546394400;02.01.2019 04:00;711.6036;761.862;841.5;860.6;8.81;8.81;8.81;8.81
1546398000;02.01.2019 05:00;722.5197;760.1238;878.5;869;22.67;22.67;22.67;22.67
1546401600;02.01.2019 06:00;783.0266;833.9031;975;1067.5;43.28;43.28;43.28;43.28
1546405200;02.01.2019 07:00;913.0571;1002.439;1107.4;1114.8;44.64;44.64;44.64;44.64
1546408800;02.01.2019 08:00;1034.8956;976.4209;1229.9;1159.1;49.64;49.64;49.64;49.64
1546412400;02.01.2019 09:00;1118.6677;1040.9053;1264;1172.8;49.96;49.96;49.96;49.96
1546416000;02.01.2019 10:00;1141.5337;1079.5546;1289.8;1079.8;50.74;50.74;50.74;50.74
1546419600;02.01.2019 11:00;1176.9613;985.1617;1297.9;1110.8;49.99;49.99;49.99;49.99
1546423200;02.01.2019 12:00;1176.8618;1011.825;1293.3;1090.9;50.25;50.25;50.25;50.25
1546426800;02.01.2019 13:00;1203.4368;1032.7383;1301.8;1097.4;49.94;49.94;49.94;49.94
1546430400;02.01.2019 14:00;1203.6024;1042.0941;1301.4;1102.4;49.97;49.97;49.97;49.97
1546434000;02.01.2019 15:00;1209.6315;1041.5309;1314.8;1104.1;50.93;50.93;50.93;50.93
1546437600;02.01.2019 16:00;1248.0497;1043.3965;1347.9;1176.4;52.38;52.38;52.38;52.38
1546441200;02.01.2019 17:00;1256.9;1101.0497;1338.3;1176.1;54.67;54.67;54.67;54.67
1546444800;02.01.2019 18:00;1243.0931;1102.8618;1318.2;1176.7;55.58;55.58;55.58;55.58
1546448400;02.01.2019 19:00;1206.8859;1105.4103;1287.5;1176.9;55.39;55.39;55.39;55.39
1546452000;02.01.2019 20:00;1168.2334;1110.5598;1242.6;1177.5;54.9;54.9;54.9;54.9
1546455600;02.01.2019 21:00;1133.5782;1110.2086;1186.4;1177.6;53.86;53.86;53.86;53.86
1546459200;02.01.2019 22:00;1070.3942;1104.2428;1115.2;1177.3;52.71;52.71;52.71;52.71
1546462800;02.01.2019 23:00;1007.0087;1112.179;1037.5;1177.2;52.09;52.09;48.84;52.09
1546466400;03.01.2019 00:00;946.4334;1117.0313;987.6;1103.8;50.76;50.76;39.01;50.76
1546470000;03.01.2019 01:00;897.2898;1012.2778;911.3;1110.3;49.8;49.8;40.29;49.8
1546473600;03.01.2019 02:00;870.7117;1055.8861;879.8;1107.7;48.89;48.89;37.05;48.89
1546477200;03.01.2019 03:00;861.9273;1073.1075;869.4;1105.5;48.31;48.31;35.37;48.31
1546480800;03.01.2019 04:00;856.5369;1073.4175;874.2;1104.1;48.4;48.4;36.03;48.4
1546484400;03.01.2019 05:00;866.9133;1079.6708;914.8;1100.1;48.79;48.79;38.35;48.79
1546488000;03.01.2019 06:00;923.4394;1090.3785;1008.3;1111.1;49.61;49.61;49.61;49.61
1546491600;03.01.2019 07:00;1047.493;1089.4468;1142.5;1131.7;51.55;51.55;51.17;51.55
1546495200;03.01.2019 08:00;1159.3292;1091.3984;1253.9;1140.1;57.09;57.09;53.91;57.09
1546498800;03.01.2019 09:00;1235.6044;1085.4427;1284.7;1133.4;58.86;58.86;58.86;58.86
1546502400;03.01.2019 10:00;1265.5997;1079.6626;1292.9;1093.5;59.14;59.14;59.14;59.14
1546506000;03.01.2019 11:00;1279.6814;1069.98;1285.5;1097.7;58.19;58.19;58.19;58.19
1546509600;03.01.2019 12:00;1256.3572;1076.2684;1276.3;1115.4;61.47;61.47;61.47;61.47
1546513200;03.01.2019 13:00;1277.0094;1068.8063;1296.4;1086;62;62;62;62
1546516800;03.01.2019 14:00;1277.4945;1062.8551;1292.4;1072.8;63.12;63.12;63.12;63.12
1546520400;03.01.2019 15:00;1268.6002;1038.7686;1296.5;1058;63.67;63.67;63.67;63.67
1546524000;03.01.2019 16:00;1297.868;1030.4135;1327.1;1034.7;66.13;66.13;66.13;66.13
1546527600;03.01.2019 17:00;1333.266;1005.051;1312.8;1029.3;68.41;68.41;68.41;68.41
1546531200;03.01.2019 18:00;1337.8805;969.189;1295.6;998;69.55;69.55;69.55;69.55
1546534800;03.01.2019 19:00;1295.9833;968.5959;1262.6;969.9;65.67;65.67;65.67;65.67
1546538400;03.01.2019 20:00;1270.2035;963.854;1223.1;950.1;61.51;61.51;61.51;61.51
1546542000;03.01.2019 21:00;1238.9989;958.9776;1173.3;977.1;57.6;56.04;57.6;57.6
1546545600;03.01.2019 22:00;1171.4541;970.0488;1110.9;956.6;54.44;54.44;54.44;54.44
1546549200;03.01.2019 23:00;1096.1603;970.6631;1026.6;960.4;52.09;52.09;52.09;52.09
1546552800;04.01.2019 00:00;1020.8909;961.5759;969.3;891;49.98;49.98;49.98;49.98
1546556400;04.01.2019 01:00;966.6981;964.258;943.3;928.7;49.87;49.87;49.87;49.87
1546560000;04.01.2019 02:00;930.4365;973.489;930.7;941.1;47.97;47.97;47.97;47.97
1546563600;04.01.2019 03:00;904.5844;970.366;924.4;959.6;47.07;47.07;47.07;47.07
1546567200;04.01.2019 04:00;899.3;968.6312;930.7;976.4;47.05;47.05;47.05;47.05
1546570800;04.01.2019 05:00;908.135;998.6377;967.7;1000;47.43;47.43;47.43;47.43
1546574400;04.01.2019 06:00;959.0226;1022.377;1075.9;1027.1;48.58;48.58;48.58;48.58
1546578000;04.01.2019 07:00;1076.2584;1066.8241;1206.1;1102;51.2;51.2;51.2;51.2
1546581600;04.01.2019 08:00;1218.2347;1181.1493;1307;1225.8;57.77;57.77;57.77;57.77
1546585200;04.01.2019 09:00;1301.5624;1188.0831;1333.8;1213.8;60.04;60.04;60.04;60.04
1546588800;04.01.2019 10:00;1326.3873;1166.0625;1350.3;1189.3;59.94;59.94;59.94;59.94
