System;Total production;Total surplus;Total shortage;Total unused;Net surplus;Average cost;Difference from arbitrage
Renewables only;10730385.3693491;1410520.39264487;-1275262.95206014;2494604.87573621;135257.440584736;159.580305505058;0
Renewables only;9585133.90683383;1163496.14358658;-1538940.20552672;1957467.27528796;-375444.061940145;84.4686314727757;0
Renewables only;9418691.82758733;1135137.06822671;-1885746.13908618;1750384.08366345;-750609.070859463;173.224429943206;0
Renewables only;10477933.7485203;1362796.18463387;-1300715.87413526;2203716.84719026;62080.3104986109;132.145659332203;0
Renewables only;9480447.84848914;1176116.71215938;-1556740.28253162;1840630.1725306;-380623.570372242;63.2919028363139;0
Renewables only;10471180.4510779;1313927.10016916;-1279284.96258317;2226537.00885299;34642.1375859914;118.615128259461;0
Renewables only;8314526.42994149;937949.05195953;-2214605.97126894;1247242.64275631;-1276656.91930941;76.7562440758343;0
Renewables only;11476715.8346882;1485513.61636841;-1008320.66334995;3122157.17174239;477192.953018461;218.20917337245;0
Renewables only;10128233.9504422;1237571.47043693;-1513480.26348107;2129486.34524342;-275908.793044137;121.118410319291;0
Renewables only;9373837.84616125;1110306.47045725;-1884331.83595854;1753616.37748196;-774025.365501295;91.7633799596936;0
Renewables only;9965664.27394186;1270712.20933558;-1576039.3842272;2032055.59653917;-305327.174891622;120.205644399997;0
Renewables only;8918956.34214344;1040829.96913893;-2046794.11394841;1466802.68299954;-1005964.14480948;79.9519923131897;0
Renewables only;9803204.24814818;1203102.87917654;-1639928.33688115;2154497.77137913;-436825.457704604;87.8624240083747;0
Renewables only;8352306.08874901;954724.723092379;-2277078.36415654;1383019.697248;-1322353.64106416;107.172111405374;0
Renewables only;9269460.44057447;1110978.41567897;-1889057.86596498;1690892.06911134;-778079.450286016;173.414054679699;0
Renewables only;9829110.1326176;1250588.54985889;-1316101.63360848;1998549.29142936;-65513.0837495853;132.525303274836;0
Renewables only;10677389.4448771;1373144.95345465;-1324237.18442914;2248704.32912071;48907.7690255111;103.659056370665;0
Renewables only;8945213.43355202;1051828.89365881;-1877829.47921368;1479033.06614838;-826000.585554863;124.441406845454;0
Renewables only;8675079.74096409;998022.649253215;-2037407.67942907;1735166.64630627;-1039385.03017586;132.884995082136;0
Renewables only;9802950.95863407;1180169.53941104;-1698815.38291952;2107821.43114191;-518645.843508475;127.539440303532;0
Renewables only;9707677.74473009;1216982.58029636;-1678045.57999981;1774945.05756258;-461062.999703445;140.075599667231;0
Renewables only;9901586.95949143;1229100.89473097;-1604835.21789498;2101620.85426908;-375734.323164008;89.3340773475117;0
Renewables only;10077543.0117746;1212597.69736554;-1739756.70690668;2317217.15366169;-527159.009541139;218.159135586881;0
Renewables only;8967188.55087762;1067954.12654716;-1990120.88470642;1521847.91563304;-922166.758159263;129.077229211813;0
Renewables only;10131342.965636;1261668.19655828;-1463921.42301877;2365615.46633285;-202253.226460486;82.9989075358708;0
Renewables only;8998786.07721494;1094182.21674288;-1907380.9600647;1558725.00113256;-813198.743321819;140.884295369258;0
Renewables only;9122698.82195491;1090226.43167586;-1816214.6939343;1728723.55280243;-725988.262258433;164.963638784733;0
Renewables only;9858517.41317135;1228623.28024096;-1450353.53540242;1943079.89566577;-221730.25516146;82.5307287247134;0
Renewables only;9375562.02633576;1128080.41393566;-1686106.59564932;1933328.63535865;-558026.181713656;127.463253232644;0
Renewables only;8658125.91108901;1025068.95076317;-1963907.57084524;1459280.98855156;-938838.620082073;127.881111351575;0
Renewables only;9624911.92622157;1173368.86002032;-1774466.589526;1914488.80327276;-601097.729505678;115.020018220855;0
Renewables only;7548864.69891741;833511.468575562;-2152825.30306863;1006429.71643129;-1319313.83449306;91.0882681715119;0
Renewables only;9616104.49639941;1186752.80520977;-1635165.72979221;1928588.53060966;-448412.924582447;121.639917145452;0
Renewables only;8838365.92935955;1049983.15314758;-1915662.16614123;1610713.35368919;-865679.012993647;143.476532243775;0
Renewables only;10545510.4033511;1348917.28078282;-1427671.29767857;2345091.17963061;-78754.0168957516;78.0104522293793;0
Renewables only;10940880.2492145;1448170.93334139;-1075140.39359225;2477196.54502064;373030.53974914;101.004184088929;0
Renewables only;9777417.51658855;1201744.3890955;-1508293.51766549;2165302.8378167;-306549.128569995;133.275918066568;0
Renewables only;9476234.23652094;1194487.91681429;-1616007.45847516;1667403.71507976;-421519.541660869;96.0157547930658;0
Renewables only;9054630.66669105;1070488.75406675;-1847704.17099684;1453543.36166711;-777215.416930094;108.200901846167;0
Renewables only;9663020.7715991;1176995.70482139;-1688318.59008435;2024122.39717997;-511322.88526296;148.266291948127;0
Renewables only;9008438.27257337;1086572.57694793;-1753883.18399268;1721572.81541339;-667310.607044749;159.488672398567;0
Renewables only;8129474.78996095;904211.827038768;-2175389.88019702;1462559.43158108;-1271178.05315826;93.8728038357312;0
Renewables only;8639574.99690934;1038868.45998998;-2003756.31227975;1543288.99693984;-964887.852289776;76.7791445945923;0
Renewables only;7706362.94573079;838646.141434603;-2407806.08720598;1027027.2450003;-1569159.94577138;113.004414623917;0
Renewables only;10250037.476008;1280855.79657621;-1590764.01015336;2459786.4507745;-309908.213577143;122.082756619936;0
Renewables only;8251962.39509432;955452.607007416;-2222729.35303626;1417253.99658028;-1267276.74602884;79.9165481826506;0
Renewables only;10184457.4981728;1242092.58289881;-1415677.76337016;2046812.9683417;-173585.180471348;109.90466253035;0
Renewables only;9007926.16534598;1077151.99855655;-1822706.32475509;1667548.56159914;-745554.326198544;125.003109251015;0
Renewables only;9366980.0470302;1175696.97911333;-1738148.98008938;1732364.51876624;-562452.000976047;87.1237865132773;0
Renewables only;10326553.7275334;1310693.70276793;-1326226.04240758;2412667.41663528;-15532.3396396565;79.394686398117;0
Renewables only;9636888.29204202;1171687.14415889;-1545232.20106703;1625429.76436421;-373545.056908144;146.505735554231;0
Renewables only;10575145.6484515;1335408.37446845;-1246823.2481064;2261592.33363524;88585.1263620577;80.7039447794239;0
Renewables only;10787441.362841;1347645.50054811;-1317746.5222449;2280505.24400085;29898.9783032171;168.666281009215;0
Renewables only;8975009.71121706;1059824.60083657;-1789495.4402303;1550975.38693696;-729670.839393724;96.8465677644587;0
Renewables only;7988596.52147898;886829.457288905;-2164234.99625533;1311774.01108692;-1277405.53896642;131.069371920504;0
Renewables only;9430431.45257979;1202298.3378081;-1645006.90761154;1767207.2651349;-442708.569803441;70.7426506609085;0
Renewables only;8475703.75978367;1008006.16489478;-2281977.86402324;1547474.87167721;-1273971.69912846;87.3464325376328;0
Renewables only;10222646.5418957;1218595.5708354;-1442096.14462022;2214911.46532031;-223500.573784827;69.7023316169246;0
Renewables only;11767939.74714;1471648.03210846;-1117905.28574692;3455179.57196485;353742.74636154;129.552348202004;0
Renewables only;10128582.2862206;1233048.00390757;-1415476.40049323;2116434.15064234;-182428.396585654;76.7076664571122;0
Renewables only;9807065.60020703;1213357.77120619;-1528286.59395377;2224961.41991012;-314928.822747586;94.1279039574179;0
Renewables only;8812720.36528851;1022745.97540565;-2090060.02699496;1529547.53046251;-1067314.05158931;61.1555027967897;0
Renewables only;9842934.36715012;1212384.62648273;-1664681.5055302;2017468.89924262;-452296.879047467;121.499212705073;0
Renewables only;9053753.69451689;1047865.75314401;-2186008.1038098;1719166.43891827;-1138142.35066579;108.329860725468;0
Renewables only;7395989.06859364;774078.318592898;-2505620.67176732;954354.538471679;-1731542.35317442;93.2640690266081;0
Renewables only;9400042.8929665;1173111.76174179;-1649602.60519168;1766192.8356176;-476490.843449894;107.15724435796;0
Renewables only;9955042.89066052;1208990.92007106;-1573493.09001255;2095644.58776952;-364502.169941482;176.018719249895;0
Renewables only;9345963.0668284;1157430.52522334;-1885390.52992655;1857372.87752729;-727960.004703214;147.130770231644;0
Renewables only;9301592.36380007;1131806.93196626;-1822229.86312558;1643852.5250891;-690422.931159315;67.7265633320732;0
Renewables only;11449020.6519308;1429641.94350191;-1389865.434073;2853648.64272016;39776.5094289148;84.1214073480598;0
Renewables only;9079129.02795356;1061237.03561301;-1858274.77008776;1588320.2148736;-797037.734474752;70.5226686705934;0
Renewables only;10307770.2767856;1276194.79402757;-1417962.20195306;2342572.32133323;-141767.407925499;195.408612912575;0
Renewables only;7997184.6138599;873515.576853674;-2440233.63989871;1080468.37333098;-1566718.06304504;97.9817667305193;0
Renewables only;9672014.63196254;1180017.24094702;-1623695.80200785;1920349.59438768;-443678.561060829;171.308209285686;0
Renewables only;8285294.45284653;938539.116953151;-2364662.45999201;1317506.75352745;-1426123.34303886;116.982563495062;0
Renewables only;8910582.2292179;1082035.08675282;-1905680.38139014;1394234.86741534;-823645.294637315;142.745432101965;0
Renewables only;10857731.8355262;1372132.22359224;-1373174.48693553;2598911.84443889;-1042.26334329012;200.791226556548;0
Renewables only;10286058.6716913;1296514.92559709;-1300031.38157506;2466066.09356047;-3516.45597797489;145.104879181599;0
Renewables only;9879876.94457473;1236707.83831273;-1526127.1109359;1950605.47922327;-289419.272623164;316.28156112196;0
Renewables only;9840446.05309366;1225584.76662126;-1673323.92082203;1975249.13599631;-447739.154200769;135.833388421466;0
Renewables only;10465597.9439986;1339201.6987159;-1389772.07438659;2320478.87357075;-50570.3756706913;74.4380081141887;0
Renewables only;9077786.52262792;1045641.70632381;-2001732.18238792;1503834.08057147;-956090.47606411;132.668066995999;0
Renewables only;9607803.17126758;1206091.76643281;-1703031.13277066;1799165.24464684;-496939.366337853;138.392506226244;0
Renewables only;8359613.91878748;976843.577729349;-2051367.43730006;1395230.03873603;-1074523.85957071;96.4802203904305;0
Renewables only;10769539.6193681;1401696.90714705;-1262289.50983948;2447259.94896122;139407.397307571;71.5853095545236;0
Renewables only;8370863.54529662;930283.682122543;-2199514.50450577;1569236.95775775;-1269230.82238323;83.2200039676365;0
Renewables only;9818898.08094448;1218978.30286849;-1568517.70753886;1891860.14171797;-349539.404670365;122.250159292706;0
Renewables only;9562420.85938944;1157693.99589335;-1633985.31484142;1941502.33288483;-476291.318948071;113.624381649866;0
Renewables only;7947670.35809111;861284.603483969;-2351548.27806377;1258309.93889892;-1490263.6745798;130.225077778372;0
Renewables only;9818828.71460652;1194305.20684761;-1575280.66505104;2005482.34668173;-380975.458203435;143.539892861351;0
Renewables only;9606468.69702977;1171083.36012623;-1654266.24755502;1785850.02409083;-483182.887428784;228.080710965842;0
Renewables only;8864803.72192905;1040622.55942395;-1905472.53945313;1524913.10145952;-864849.980029182;113.129296031721;0
Renewables only;10109316.5663699;1276486.91276563;-1500688.64070794;2067847.73816761;-224201.727942302;171.027771321653;0
Renewables only;10006666.2817505;1277568.32575172;-1566299.41413326;2206106.22487122;-288731.088381547;87.1894218277527;0
Renewables only;9820759.16249249;1201638.44430994;-1518507.21417399;1886477.44275011;-316868.769864051;140.833812018355;0
Renewables only;11146509.1515157;1439648.88998771;-1323092.88144519;2607131.73529031;116556.008542527;118.34183207951;0
Renewables only;8824734.13868698;1022733.40449648;-2002241.66694024;1423530.99000208;-979508.262443755;122.359546848549;0
Renewables only;9593062.08041969;1184024.93863583;-1671569.79387375;2010377.68767452;-487544.855237914;88.9850107940699;0
Renewables only;9492795.69183144;1140685.61502352;-1514272.75388962;1843989.17367334;-373587.138866103;139.925624392103;0
Renewables only;8533028.4515905;992437.031923167;-2017248.16726704;1394611.19837628;-1024811.13534387;139.766025231216;0
Renewables only;8177315.55299418;937677.763593847;-2250740.0328113;1414224.1925921;-1313062.26921745;107.846475145955;0
Renewables only;9597879.74900117;1171821.38803501;-1787364.34393424;1840548.59403478;-615542.955899227;96.5143892043082;0
Renewables only;7760611.11501918;829190.07308227;-2409992.92010884;949080.67253614;-1580802.84702657;89.4539935002992;0
Renewables only;9486674.77349295;1145098.67561277;-1815212.37979741;1829008.18078635;-670113.704184642;97.8595340050894;0
Renewables only;11360411.1300089;1463992.67947821;-1058859.62948009;2746960.76978562;405133.049998124;145.883802876286;0
Renewables only;11654252.9258967;1553687.33038934;-1012713.05793183;2743388.85043351;540974.272457509;125.640121998242;0
Renewables only;11015411.2931814;1418083.02014137;-1246224.15707396;2784747.42160732;171858.863067401;250.990056564772;0
Renewables only;10231998.5073489;1267951.72009649;-1346970.82210388;2060974.2705371;-79019.1020073922;118.390091304755;0
Renewables only;9229545.32927756;1106391.73378967;-1860277.09634009;1952549.63032441;-753885.362550424;107.844228590137;0
Renewables only;8680975.72582617;998546.465687698;-1998779.52530402;1361212.48753577;-1000233.05961632;120.507641419969;0
Renewables only;7564145.8720568;806623.319867457;-2545205.37426835;977349.001285954;-1738582.0544009;106.684064927049;0
Renewables only;9915786.62105103;1245547.1047675;-1265623.77622189;2002285.58035725;-20076.6714543852;85.6725902567489;0
Renewables only;9270917.5635099;1088556.66427934;-1921733.67762652;1756530.82782955;-833177.013347188;79.7506209174763;0
Renewables only;10273624.4319244;1293897.22432327;-1385434.19750555;2280839.18622739;-91536.9731822769;227.059804454147;0
Renewables only;10122301.9187825;1252580.32037463;-1462623.04069784;2219447.54336124;-210042.720323211;74.3255101280992;0
Renewables only;9079122.92054809;1077143.39556673;-1816700.11823285;1683079.72597807;-739556.722666115;152.735214108303;0
Renewables only;9434258.4338406;1137213.44537725;-1678825.34006363;1857777.32828748;-541611.89468638;134.417869711272;0
Renewables only;10799946.638337;1384530.18757298;-1186818.60562324;2599815.83888565;197711.581949745;135.550264075511;0
Renewables only;9991852.25125589;1251510.40726622;-1373161.07298592;2000877.1844616;-121650.665719701;119.281541267188;0
Renewables only;8143305.78355226;943109.990504274;-2126245.43371505;1429083.10457679;-1183135.44321078;157.649253660445;0
Renewables only;10330430.1178641;1272760.40802985;-1296593.86156062;2199056.71127294;-23833.4535307709;111.261183735721;0
Renewables only;8513015.70238104;1020764.28078779;-2117121.99104805;1511875.22277915;-1096357.71026027;180.083006496805;0
Renewables only;10709099.4423222;1366100.27125968;-1293267.35978845;2094290.62116204;72832.911471234;110.303723432251;0
Renewables only;9044460.17526705;1090392.26148287;-2126103.46225277;1571818.14661854;-1035711.2007699;112.118569881863;0
Renewables only;10205942.5124861;1291191.16088037;-1390838.53056799;2395170.26171621;-99647.3696876172;98.212129582124;0
Renewables only;9477052.65956945;1159069.14380955;-1640420.65129696;2158326.1296923;-481351.507487408;121.297697702709;0
Renewables only;10045086.7049504;1215561.39076756;-1441701.37145417;2134350.88313183;-226139.980686607;82.4308451898769;0
Renewables only;8343617.43920766;988805.019997427;-2059637.99935996;1365393.02418803;-1070832.97936253;105.365548157111;0
Renewables only;8771712.10657277;1058440.80295406;-2210933.03253349;1461965.8397145;-1152492.22957943;80.0460827952248;0
Renewables only;9974236.14590954;1262691.17507481;-1508849.49225375;1990086.4684394;-246158.317178947;128.069540802747;0
Renewables only;11307412.5385025;1474240.66220678;-1162613.1413339;2839070.94373988;311627.520872887;110.132435689331;0
Renewables only;9664822.90145859;1194581.55298197;-1645125.53918188;1913046.99790674;-450543.986199914;67.5582182217551;0
Renewables only;9372716.56610432;1112738.10192552;-1992164.43012808;1682938.42643651;-879426.328202564;134.665010463531;0
Renewables only;7560427.59197426;810769.096788079;-2495453.32907951;1073728.73360163;-1684684.23229143;213.218059950321;0
Renewables only;10364112.0452936;1327495.40050427;-1413271.4735386;2219639.30875184;-85776.0730343332;85.0301414943954;0
Renewables only;8624961.58216024;1001039.45812282;-2156528.10439154;1684082.48150141;-1155488.64626872;87.4073686593239;0
Renewables only;8661482.68635157;975274.430045001;-1948321.84397634;1582612.77113899;-973047.413931334;248.833011880631;0
Renewables only;8360809.87843993;952937.468969302;-1907073.38706765;1261480.69747315;-954135.918098347;124.28555844742;0
Renewables only;8994430.97398311;1062800.68559738;-2005718.92064328;1452013.41852321;-942918.235045897;118.669868639085;0
Renewables only;9457819.49057441;1140879.65107547;-1833732.67448435;1882286.79054584;-692853.023408885;137.008505294555;0
Renewables only;9014400.37926938;1053136.02009748;-1856148.73702436;1535082.20635909;-803012.716926886;84.9355434594747;0
Renewables only;8835424.30134861;1108360.72662042;-1713805.65465012;1537053.94260503;-605444.928029699;88.9336562987304;0
Renewables only;9837111.27445787;1213464.18625347;-1437425.81285543;2137142.48161466;-223961.626601957;124.302746751034;0
Renewables only;11944169.3944866;1569617.35875511;-994323.569375806;3049788.82079158;575293.789379303;113.403042319395;0
Renewables only;9599606.71230404;1177737.17247208;-1595028.14609507;1827656.83821166;-417290.97362299;126.804962205025;0
Renewables only;9755147.88420462;1223363.86116371;-1433054.56205187;1878660.49273706;-209690.700888154;77.0517539075378;0
Renewables only;10242407.5876694;1275378.63964837;-1657320.21882843;2016145.76167224;-381941.579180062;175.731446451221;0
Renewables only;9031293.78695661;1099543.96095077;-1699628.43711478;1600222.12900797;-600084.476164013;85.880888713244;0
Renewables only;9413689.78969175;1147724.32901428;-1841536.25243791;1838848.9377916;-693811.923423631;170.08983211514;0
Renewables only;9659100.50071518;1176934.97654686;-1693552.01093915;1930150.19230369;-516617.034392292;85.3702020271938;0
Renewables only;8851889.90133758;1015541.33614444;-2117960.31205795;1394977.8135502;-1102418.97591351;80.7651324108651;0
Renewables only;10209398.6332813;1281841.82240788;-1484795.72002821;2182268.08850547;-202953.897620324;148.284451793312;0
Renewables only;8005916.17153146;907877.966008245;-2462482.5557439;1169572.33140947;-1554604.58973566;125.452705228803;0
Renewables only;11611858.538782;1512474.90058934;-1051957.28854072;2987222.79006598;460517.612048622;100.109234828512;0
Renewables only;9235412.02949373;1143712.1935268;-1762236.24453094;1644632.26616823;-618524.05100414;106.359925176037;0
