Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Tootmine;Planeeritud tarbimine;Planeeritud tootmine;NPS Eesti;NPS Soome;NPS Leedu;NPS Läti
1577829600;01.01.2020 00:00;819;395.9;913.2;448.1;30.83;30.83;30.83;30.83
1577833200;01.01.2020 01:00;810.1;404.9;895;465.2;28.78;28.78;28.78;28.78
1577836800;01.01.2020 02:00;779.1;394.4;879;462;28.45;28.45;28.45;28.45
1577840400;01.01.2020 03:00;759.2;402.8;869.7;455.9;27.9;27.9;27.9;27.9
1577844000;01.01.2020 04:00;743.3;380.3;865.8;440.2;27.52;27.52;27.52;27.52
1577847600;01.01.2020 05:00;730.4;355;840.7;427.5;27.54;27.54;27.54;27.54
1577851200;01.01.2020 06:00;747.5;372.1;828.6;427.7;26.55;26.55;26.55;26.55
1577854800;01.01.2020 07:00;759.7;401.8;858;443.6;25.83;25.83;25.83;25.83
1577858400;01.01.2020 08:00;768.9;409.4;914.1;460.9;25.07;25.07;25.07;25.07
1577862000;01.01.2020 09:00;775.9;386.7;964.5;470.4;25.65;25.65;25.65;25.65
1577865600;01.01.2020 10:00;818.7;403.6;947.6;466;26.15;26.15;26.15;26.15
1577869200;01.01.2020 11:00;832;385;950.8;463.3;26.77;26.77;26.77;26.77
1577872800;01.01.2020 12:00;849.2;388.2;941.2;470.6;27.4;27.4;27.4;27.4
1577876400;01.01.2020 13:00;866.2;414.6;952.2;480.2;28.08;28.08;28.08;28.08
1577880000;01.01.2020 14:00;866;443.9;955.7;486.3;28.69;28.69;28.69;28.69
1577883600;01.01.2020 15:00;909.5;450.8;1012.2;494.1;29.37;29.37;29.37;29.37
1577887200;01.01.2020 16:00;969;460;1032.2;499.6;29.97;29.97;29.97;29.97
1577890800;01.01.2020 17:00;961.4;439.7;1039.3;499.7;30.46;30.46;30.46;30.46
1577894400;01.01.2020 18:00;960.5;432.4;1039.5;497.8;30.39;30.39;30.39;30.39
1577898000;01.01.2020 19:00;946.5;415.8;1052.6;496.6;30.06;30.06;30.06;30.06
1577901600;01.01.2020 20:00;929.8;427.3;1065.8;499.2;29.38;29.38;29.38;29.38
1577905200;01.01.2020 21:00;899.5;413.6;1052.6;500.7;27.65;27.65;27.65;27.65
1577908800;01.01.2020 22:00;852.3;412.3;1000.5;497.6;27.33;27.33;27.33;27.33
1577912400;01.01.2020 23:00;810.6;418.9;948.3;496;25.88;25.88;25.88;25.88
1577916000;02.01.2020 00:00;770;424.6;884.4;497.5;24.81;24.81;24.81;24.81
1577919600;02.01.2020 01:00;734.8;438.1;993.6;641.4;12.07;12.07;12.07;12.07
1577923200;02.01.2020 02:00;712.7;453.4;963.1;648.7;13.13;13.13;13.13;13.13
1577926800;02.01.2020 03:00;704.8;458.5;968.5;646.8;19.07;19.07;19.07;19.07
1577930400;02.01.2020 04:00;703.8;439.1;943.1;644.7;21.12;21.12;21.12;21.12
1577934000;02.01.2020 05:00;725.2;411.6;968.4;641.9;24.29;24.29;24.29;24.29
1577937600;02.01.2020 06:00;808.9;429.1;1066.3;631.6;26.27;26.27;26.27;26.27
1577941200;02.01.2020 07:00;916.2;420.7;1185.8;621.2;27.74;27.74;27.74;27.74
1577944800;02.01.2020 08:00;1032.5;407.1;1310;612.6;28.39;28.39;28.39;28.39
1577948400;02.01.2020 09:00;1070.9;410.2;1339.5;606.9;29.37;29.37;29.37;29.37
1577952000;02.01.2020 10:00;1095.3;414.3;1374.7;605.2;29.95;29.95;29.95;29.95
1577955600;02.01.2020 11:00;1101.5;422.3;1352.6;608.9;29.91;29.91;29.91;29.91
1577959200;02.01.2020 12:00;1103.5;426.1;1334.1;606.2;29.96;29.96;29.96;29.96
1577962800;02.01.2020 13:00;1108.1;429.9;1371.7;614;29.94;29.94;29.94;29.94
1577966400;02.01.2020 14:00;1106.3;444.3;1386.6;619;29.94;29.94;29.94;29.94
